dateTimeUTC,humidity,precipitation,pressure,radiation,temperature,windspeed
2015-11-20,80.5,0.0,100.87200012000002,12.512,27.560999999999996,1.0050000000000001
2015-11-21,81.0,0.0625,100.85208358333331,235.42416666666665,28.31291666666667,0.7625000000000001
2015-11-22,83.70833333333333,0.0016666666666666668,100.92041651666666,262.2029166666666,28.514583333333334,0.5391666666666667
2015-11-23,84.625,0.005833333333333333,101.04333368333333,247.6504166666667,28.765,0.5070833333333334
2015-11-24,85.0,0.0,100.91458333333334,241.4645833333334,28.615416666666672,0.5712499999999999
2015-11-25,84.45833333333333,0.0,100.84291636666664,264.00291666666664,28.86833333333333,0.6487500000000002
2015-11-26,84.16666666666667,1.3195833333333333,100.93541641666665,283.5975,28.384166666666662,0.5295833333333334
2015-11-27,82.33333333333333,0.0008333333333333334,101.02541731666668,241.24708333333334,28.549166666666668,0.5741666666666666
2015-11-28,84.0,0.3645833333333333,101.19124959999999,274.175,28.830416666666668,0.5341666666666668
2015-11-29,82.95833333333333,0.11458333333333333,101.26875000000001,279.84,28.505416666666665,1.04
2015-11-30,82.91666666666667,1.0687499999999999,101.2425003,287.94,28.542083333333323,0.8270833333333333
2015-12-01,82.54166666666667,0.09333333333333334,101.15666656666669,292.1166666666667,28.12833333333334,0.6004166666666667
2015-12-02,80.5,0.0,101.12833378333333,280.39916666666664,28.819166666666664,0.7866666666666666
2015-12-03,77.29166666666667,0.0,101.12375004999997,287.6216666666666,28.736249999999995,0.8500000000000001
2015-12-04,77.54166666666667,0.0,101.07500025,249.58208333333337,28.201666666666668,0.7970833333333331
2015-12-05,79.79166666666667,0.0,100.97250035,285.37708333333336,28.492499999999996,0.7704166666666669
2015-12-06,80.08333333333333,0.0,100.98750000000003,278.48875000000004,29.473333333333333,0.6891666666666668
2015-12-07,81.79166666666667,0.0,100.98791681666665,279.00041666666664,29.817499999999995,0.6083333333333333
2015-12-08,82.16666666666667,0.0,100.96916731666666,242.11166666666668,29.810833333333335,0.5479166666666666
2015-12-09,82.08333333333333,0.0,101.01875000000001,238.64374999999998,29.704583333333336,0.6620833333333332
2015-12-10,81.79166666666667,0.0,101.00958328333331,227.82625,29.530000000000005,0.7191666666666666
2015-12-11,80.5,0.0,100.91583303333334,256.5258333333333,29.86375000000001,0.7725000000000001
2015-12-12,82.33333333333333,0.0,100.80666631666668,225.24541666666667,29.44666666666667,0.6983333333333334
2015-12-13,80.29166666666667,0.0,100.76374969999999,233.8020833333333,29.385833333333323,0.7062500000000002
2015-12-14,79.875,0.0,100.80666681666668,230.87124999999995,29.354166666666668,0.7675000000000001
2015-12-15,86.70833333333333,0.86625,100.94958293333333,129.40041666666667,27.099583333333342,0.49750000000000005
2015-12-16,82.41666666666667,0.0,100.94583383333332,274.26416666666665,28.22541666666666,0.7525
2015-12-17,84.08333333333333,0.0,101.03249995000003,212.96208333333334,28.754166666666666,0.6816666666666666
2015-12-18,82.41666666666667,0.0,101.03833313333332,250.53791666666666,28.794583333333335,0.7270833333333334
2015-12-19,82.45833333333333,0.0,101.11083323333334,225.8283333333333,28.561250000000005,0.695
2015-12-20,83.16666666666667,0.004583333333333333,101.07874935,221.62791666666666,28.47125,0.6704166666666668
2015-12-21,81.0,0.0,101.00374985000002,238.73041666666668,28.694166666666664,0.7479166666666668
2015-12-22,80.70833333333333,0.0,101.03958283333333,225.22000000000003,28.61916666666666,0.7479166666666665
2015-12-23,79.66666666666667,0.0,101.10666606666668,249.03625000000002,28.587083333333325,0.90625
2015-12-24,81.0,0.0062499999999999995,101.13916701666665,198.21208333333334,28.30291666666666,0.755416666666667
2015-12-25,79.29166666666667,0.0,101.11958363333333,251.6170833333334,28.52,0.7699999999999999
2015-12-26,81.29166666666667,0.0,100.9766672666667,250.54958333333335,28.755,0.7233333333333333
2015-12-27,80.29166666666667,0.0,101.00083363333334,226.35750000000004,29.004583333333333,0.9470833333333334
2015-12-28,79.20833333333333,0.01916666666666667,101.11333363333331,201.90583333333333,28.795416666666664,1.0520833333333335
2015-12-29,78.08333333333333,0.0,101.13166656666665,221.6783333333333,28.50375,0.894166666666667
2015-12-30,79.54166666666667,0.0,100.97375030000002,256.5691666666667,28.574999999999992,0.9254166666666667
2015-12-31,81.33333333333333,0.0,100.91333338333334,249.34125000000003,28.717916666666664,0.9991666666666669
2016-01-01,79.79166666666667,0.0,101.08041686666665,155.2775,29.041666666666668,0.7449999999999998
2016-01-02,81.0,0.0,101.13000029999999,159.87416666666664,29.18375,0.92125
2016-01-03,80.41666666666667,0.011250000000000001,101.01916631666666,169.79875,28.970833333333328,1.0241666666666667
2016-01-04,77.875,0.0,101.15416666666665,270.0995833333333,29.440416666666664,1.2233333333333334
2016-01-05,78.58333333333333,0.028333333333333335,101.16916656666666,228.11874999999995,28.935000000000002,0.9587500000000002
2016-01-06,79.375,0.0,101.05916671666667,221.46208333333334,28.820000000000004,0.8395833333333331
2016-01-07,80.33333333333333,0.0,101.14375000000001,199.1720833333333,29.223750000000006,0.8583333333333333
2016-01-08,77.5,0.0,101.11250024999998,213.51374999999996,29.2025,0.9854166666666667
2016-01-09,79.0,0.0,100.95791651666669,200.17625,28.755,1.1208333333333331
2016-01-10,78.20833333333333,0.0016666666666666668,101.05708363333332,192.28666666666666,28.640416666666663,0.8987499999999998
2016-01-11,81.08333333333333,0.0,101.15999935,131.89333333333332,28.18958333333333,0.8737499999999998
2016-01-12,79.91666666666667,0.0,101.06708373333333,229.03458333333333,28.961666666666662,0.8420833333333335
